beam,family,order,w0_m,kr_m-1,r_peak_m,r_rms_m,d_4sigma_m,total_power
LG01,LG,1,0.025,nan,0.017750000000000002,0.025,0.07071067811865477,0.9999999999999999
LG02,LG,2,0.025,nan,0.025050000000000003,0.03061862178478973,0.08660254037844388,1.0
LG03,LG,3,0.025,nan,0.030650000000000004,0.03535533905932738,0.10000000000000002,0.9999999999999999
BG01,BG,1,0.0392,76.46,0.018550000000000004,0.024988272024503978,0.07067750639464344,1.0
BG02,BG,2,0.0352,85.34,0.02595,0.030638259024979717,0.0866580828812524,1.0
BG03,BG,3,0.0326,91.91,0.03125,0.03533262501482147,0.09993575498040681,1.0
