regime,n_scenarios,mean_entropy_gap,median_entropy_gap,std_entropy_gap,minimum,maximum
weak,18,0.021875280552085923,0.02130186984390739,0.004669637514367443,0.015066051376775524,0.02953132668712477
moderate,18,0.031214819460153254,0.031792648279463126,0.001473815655784867,0.02834600166644846,0.03314974145885963
strong,18,0.014841717224750103,0.014664964526411528,0.0014607636439656067,0.012572668897892547,0.017437340768450937
