regime,correlation,n_scenarios,mean_rho,median_rho,q25,q75,minimum,maximum
weak,rho_wander_retention,18,-0.6369778384067577,-0.6353281884220324,-0.6440691877543704,-0.6271276312020253,-0.6864786642729166,-0.6096070718716969
weak,rho_wander_spread,18,0.57693518559594,0.5782267014151328,0.5486475523980346,0.5954729805392822,0.5391535456128196,0.6414697767131632
weak,rho_wander_entropy,18,0.6329542375749503,0.6334751974962745,0.622676773632066,0.643205710854343,0.6042411839854596,0.6839174103053935
moderate,rho_wander_retention,18,-0.3946767228176665,-0.37778094891972674,-0.4619198718805413,-0.34903782247299164,-0.49876123742640993,-0.31032271656018734
moderate,rho_wander_spread,18,0.5724785333807456,0.5717580849589081,0.5470192362511793,0.5955156023141326,0.5399495028639777,0.6188266484331914
moderate,rho_wander_entropy,18,0.5959881353663882,0.5937572069644526,0.5743193786698846,0.6158244733187785,0.5561966780350669,0.634630846433396
strong,rho_wander_retention,18,-0.32447406469901435,-0.32175545489390944,-0.35577169457268165,-0.29878953084672727,-0.38400121245520635,-0.2444848807647424
strong,rho_wander_spread,18,0.5503976646274201,0.5451243870726861,0.5260698944601404,0.5832095105523767,0.47851963921340984,0.6253593414117966
strong,rho_wander_entropy,18,0.5435278566077355,0.535317012674943,0.5297867201169466,0.5735768606898204,0.4790253416292661,0.6017418424813014
