beam,family,order,psd,regime,n,retention_mean,spread_mean,entropy_mean,beam_wander_m,retention_mean_spectrum,spread_mean_spectrum,entropy_mean_spectrum,entropy_gap,signed_asymmetry,absolute_asymmetry,mean_total_power
LG01,LG,1,kolmogorov,weak,1750,0.67776121350686,1.3090132715686913,0.1625880094515072,0.0020079467957683306,0.6777612135068598,1.317914098028612,0.18076182186970774,0.01817381241820054,-0.0002643920604157669,0.0017331979642780373,1.0000000000000089
LG01,LG,1,kolmogorov,moderate,1750,0.1924960603364056,4.226117318522357,0.3830988319869291,0.006383950543039077,0.19249606033640582,4.255232481768575,0.4121387877482584,0.029039955761329284,-0.00802131293004292,0.012092833626005633,1.0000000000000089
LG01,LG,1,kolmogorov,strong,1750,0.04606598415740265,16.176775848391067,0.6343128306086583,0.02026275533731245,0.04606598415740263,16.335661643405757,0.6506698536189036,0.01635702301024533,-0.030835716654757074,0.03189894383507029,1.0000000000000082
LG01,LG,1,von_karman,weak,1750,0.7222878404502875,1.2726891380217493,0.1487480502867758,0.0017445380303324012,0.7222878404502876,1.2787456077825825,0.16399377445329802,0.015245724166522229,0.0004802166093499222,0.0022579673556924716,1.0000000000000089
LG01,LG,1,von_karman,moderate,1750,0.2174102404600329,4.093442104838146,0.3708055235126309,0.005465315736942048,0.21741024046003293,4.113158858490909,0.39915152517907937,0.02834600166644846,-0.011206159678716411,0.018029255189347625,1.0000000000000089
LG01,LG,1,von_karman,strong,1750,0.05125107345453489,15.378001558250075,0.6238354979949939,0.017084111941039263,0.05125107345453496,15.480343719943171,0.6386915038247943,0.0148560058298004,-0.02522757885984525,0.035961020153606034,1.0000000000000087
LG01,LG,1,modified_von_karman,weak,1750,0.7237132635755292,1.0185945781863393,0.1473504175804845,0.0017199422058619517,0.7237132635755293,1.0291802643540713,0.16241646895726003,0.015066051376775524,3.847789570729051e-05,0.001049567413554605,1.0000000000000089
LG01,LG,1,modified_von_karman,moderate,1750,0.22091215721686347,3.2680678368061216,0.3628537987661105,0.005512819425310303,0.22091215721686372,3.3051354751897453,0.3925809211308746,0.029727122364764103,-0.010096234695646165,0.012352387853697813,1.000000000000009
LG01,LG,1,modified_von_karman,strong,1750,0.05437427818915928,11.9420452438669,0.5998230287488553,0.017203362562263725,0.05437427818915938,12.110020597531992,0.6169426563656957,0.017119627616840383,-0.024798570427241633,0.03323265202470797,1.0000000000000084
LG02,LG,2,kolmogorov,weak,1750,0.5791662406670641,1.5840787919721833,0.19420688233285732,0.001964386107635201,0.5791662406670633,1.5941684461383052,0.2188661417648838,0.024659259432026487,0.0006467701819907302,0.0017965742354918196,1.0000000000000089
LG02,LG,2,kolmogorov,moderate,1750,0.1461687410397499,5.055420028148731,0.4154847917110154,0.006096920044108166,0.14616874103974992,5.091763692324531,0.4472520357376929,0.03176724402667752,-0.011387439275328511,0.01453300615720281,1.0000000000000087
LG02,LG,2,kolmogorov,strong,1750,0.036658267565765235,18.228047697882836,0.6611948235304003,0.01919317961153004,0.03665826756576528,18.385036426299717,0.6758579766723812,0.014663153141980967,-0.03690338269184274,0.041919309283623786,1.0000000000000082
LG02,LG,2,von_karman,weak,1750,0.6416526826993793,1.5382659052237186,0.17767115608116188,0.001646606348566536,0.6416526826993794,1.545364361225749,0.19897561951557471,0.021304463434412835,-0.0013342751078096588,0.002064500194354342,1.0000000000000089
LG02,LG,2,von_karman,moderate,1750,0.15940159833367445,4.928275598552637,0.4070835767397427,0.0053005041276050265,0.15940159833367482,4.951425720425012,0.437721055211845,0.030637478472102297,-0.007199432300054951,0.008129983697520726,1.0000000000000089
LG02,LG,2,von_karman,strong,1750,0.03847605012401027,17.567682701372718,0.654051164437095,0.016563548935090714,0.03847605012401028,17.687197323831434,0.6675731771037376,0.013522012666642658,-0.031926537755224464,0.0340657077932588,1.0000000000000082
LG02,LG,2,modified_von_karman,weak,1750,0.6485279124736117,1.2441694676723625,0.17463817464527925,0.0016501718829126132,0.6485279124736122,1.256002690920854,0.19490084411897016,0.020262669473690903,-0.00013251880146582888,0.0008112701888719954,1.0000000000000089
LG02,LG,2,modified_von_karman,moderate,1750,0.1645885476695808,3.9750419905819925,0.39754608999520646,0.005211392817167001,0.1645885476695806,4.015973626940873,0.4287560063907107,0.031209916395504245,-0.005938149718257674,0.009301693830070925,1.0000000000000089
