parameterization,ell,kr_bg_m-1,w0_bg_m,kr_w0_product,lg_initial_r_rms_m,bg_initial_r_rms_m,initial_matching_error_percent,lg_final_r_rms_m,bg_final_r_rms_m,lg_growth_percent,bg_growth_percent,max_abs_relative_difference_percent,median_relative_difference_percent,lg_kperp_rms_rad_m,bg_kperp_rms_rad_m,kperp_relative_difference_percent,lg_theta_rms_rad,bg_theta_rms_rad,theta_relative_difference_percent
fixed_w0_adjust_kr,1,77.76066859809801,0.04,3.11042674392392,0.025,0.025000000004475633,1.790252668332215e-08,0.02626625659499351,0.026386327831839085,5.065026379974038,5.545311308461056,0.45713113481294476,0.12316524461708203,80.0,83.8050361325194,4.756295165649256,8.05705983908411e-06,8.440277386703935e-06,4.756295165649265
fixed_w0_adjust_kr,2,93.29526460461886,0.04,3.7318105841847546,0.03061862178478973,0.030618621776957407,-2.5580255218203473e-08,0.032169462644449025,0.03225901785356789,5.065025037899324,5.35751115304933,0.2783857788010621,0.07495687260313694,97.97958971132711,100.84071671153686,2.9201255165890765,9.867842716413403e-06,1.0155996109512268e-05,2.920125516589079
fixed_w0_adjust_kr,3,106.73978529394739,0.04,4.2695914117578955,0.03535533905932738,0.03535533904160936,-5.011413259164579e-08,0.03714609588879252,0.0372206357645434,5.065025190283688,5.27585584949077,0.20066678332505378,0.054015277674864505,113.1370849898476,115.52708237742527,2.112479199717888,1.1394403297284335e-05,1.1635107696871435e-05,2.112479199717883
fixed_w0_adjust_kr,4,118.71281966790598,0.04,4.7485127867162396,0.03952847075210474,0.03952847075733757,1.3238124218288737e-08,0.04153059819631527,0.04159577470636527,5.065026311709575,5.229911275138181,0.1569361215119172,0.042237201404914014,126.49110640673516,128.58514612563596,1.6554837556463202,1.2739330167887757e-05,1.295022770939529e-05,1.6554837556463216
fixed_w0_adjust_kr,5,129.60154038637108,0.04,5.184061615454843,0.04330127018922194,0.043301270205170196,3.683092097421978e-08,0.045494491372448015,0.0455531184734134,5.065027362111856,5.200420813462267,0.1288663730415781,0.03467908007839009,138.56406460551017,140.45015761001568,1.3611703798349089,1.39552370009164e-05,1.4145191553408636e-05,1.3611703798349157
fixed_w0_adjust_kr,6,139.6523987895067,0.04,5.586095951580268,0.04677071733467427,0.046770717012527684,-6.887783757489033e-07,0.04913966711637078,0.04919338447156868,5.065027685475003,5.179880946430813,0.10931566766760775,0.029415186538728908,149.66629547095764,151.3960408682438,1.155734757677502,1.507337873129436e-05,1.5247587008448297e-05,1.1557347576774994
fixed_w0_adjust_kr,7,149.03178640015554,0.04,5.961271456006222,0.05000000000000001,0.04999999964529639,-7.094072412838769e-07,0.05253251362119222,0.052582375357394705,5.065027242384417,5.164751460835752,0.09491595350269197,0.025539017515336427,160.0,161.60669324690468,1.004183279315427,1.611411967816822e-05,1.627593497358526e-05,1.0041832793154244
fixed_w0_adjust_kr,8,157.85782732329,0.04,6.3143130929316,0.05303300858899107,0.053033008727103995,2.604282267779986e-07,0.05571914443833085,0.05576587534537746,5.0650263313505155,5.153142700871806,0.08386867299862133,0.02256626554456816,169.70562748477138,171.21222187717453,0.8877692594715749,1.70916049459265e-05,1.724333896058676e-05,0.8877692594715832
fixed_w0_adjust_kr,9,166.2178122083665,0.04,6.6487124883346596,0.05590169943749474,0.05590169879236534,-1.1540425564524014e-06,0.05873313467224152,0.05877725672485319,5.065025327025495,5.143954467588694,0.07512293164309099,0.020211418052932615,178.88543819998316,180.3085507751541,0.7955441144292463,1.8016133498975585e-05,1.8159459788674402e-05,0.7955441144292533
fixed_w0_adjust_kr,10,174.17832411360482,0.04,6.967132964544192,0.058630196997792865,0.05863019726225842,4.5107396387087984e-07,0.0615998308587248,0.0616417377600658,5.065024531716529,5.136500708562302,0.06803087079428338,0.018303956617218217,187.6166303929372,188.96873389394128,0.7206735875024969,1.889548022354027e-05,1.903165495874308e-05,0.7206735875024938
